feature,importance
num__points_in_wallet,0.5802738033159837
num__opportunity_size_usd,0.17600212101356935
num__days_since_last_login,0.08626699336927587
cat__feedback_0,0.004646495989041182
cat__feedback_1,0.005101272640486994
cat__feedback_2,0.023318416141763595
cat__feedback_3,0.0043258188922564375
cat__feedback_4,0.022122853322075642
cat__feedback_5,0.022869290369307373
cat__feedback_6,0.004037810543448219
cat__feedback_7,0.005240115411863795
cat__feedback_8,0.024555498361235443
cat__joined_through_referral_0,0.003776478033230719
cat__joined_through_referral_1,0.0036816151223095454
cat__preferred_offer_types_0,0.004625414635488386
cat__preferred_offer_types_1,0.004645199711222098
cat__preferred_offer_types_2,0.004628164699641961
cat__technology_primary_0,0.0005934134421443831
cat__technology_primary_1,0.004547905723426893
cat__technology_primary_2,0.001216181536396902
cat__technology_primary_3,0.004643426877857384
cat__past_complaint_0,0.004342392919430945
cat__past_complaint_1,0.004539317928543152
